175 145 199
135 122 172
170 148 197
178 145 195
169 138 188
182 149 199
176 144 189
139 108 158
174 141 191
125 105 158
148 116 161
167 145 196
148 107 158
178 145 195
125 112 162
161 134 189
150 112 162
174 140 193
168 143 195
150 112 162
181 147 200
181 148 198
152 115 169
171 142 189
168 139 186
184 147 201
163 130 180
176 142 199
180 148 201
126 96 139
179 143 192
181 147 202
183 150 200
173 142 192
142 106 157
146 133 183
190 154 203
180 150 204
163 138 190
128 101 156
182 148 203
150 125 164
136 123 173
132 102 145
173 141 196
175 142 192
178 148 193
168 138 181
169 147 196
170 132 184
152 114 164
180 148 193
159 123 172
183 145 197
134 101 149
183 151 204
169 147 196
178 145 195
123 92 140
114 100 153
167 134 184
180 147 197
166 128 178
180 147 197
175 144 194
183 149 206
138 102 153
133 108 147
136 123 173
123 91 144
181 159 208
113 100 150
154 139 190
133 103 157
136 111 150
147 132 181
176 145 195
173 143 197
181 147 200
179 149 203
178 151 202
171 141 195
178 147 197
181 152 199
180 148 193
177 147 201
183 146 200
145 113 158
145 115 169
172 142 183
171 138 188
141 116 168
179 154 206
182 148 201
179 149 190
187 153 206
128 103 142
176 145 195
175 143 196
178 151 202
128 101 138
181 148 198
147 128 174
141 116 155
170 136 189
127 114 162
126 95 143
182 146 195
186 156 210
137 122 173
138 101 155
182 149 199
172 134 184
176 149 200
134 110 155
178 146 191
184 147 201
117 107 154
141 103 155
171 139 192
181 148 198
157 126 176
127 102 141
134 111 151
127 103 148
145 115 160
145 115 160
172 142 196
148 115 163
148 115 163
175 144 192
171 141 184
173 143 188
160 127 175
142 109 157
148 112 163
138 107 155
182 148 201
138 110 150
164 134 175
182 150 195
169 137 182
151 113 163
181 147 200
144 116 156
167 139 179
152 119 169
175 145 186
190 158 203
181 149 194
167 145 196
176 143 193
162 130 175
149 111 161
162 124 174
150 112 162
178 148 202
187 155 200
185 154 202
175 144 192
184 151 201
138 125 173
176 143 193
190 152 202
158 117 168
131 101 153
154 124 176
181 149 194
175 144 192
174 141 191
185 152 202
187 149 199
176 151 203
148 110 160
146 112 165
131 121 168
138 105 155
164 133 183
177 143 198
178 144 201
185 148 202
191 155 204
173 137 186
138 105 155
176 144 197
183 149 204
177 143 200
170 145 197
182 145 199
178 145 195
183 146 200
164 134 188
159 121 173
176 143 193
191 157 210
165 128 182
131 103 147
147 119 163
180 147 197
176 142 195
188 154 207
158 121 175
156 127 174
176 145 195
183 150 200
184 151 201
150 126 171
189 153 202
182 151 201
182 151 201
164 130 183
180 147 197
180 147 197
150 116 169
125 91 144
117 97 148
146 126 177
169 144 196
180 148 203
164 132 185
134 101 151
139 119 170
158 138 189
171 146 198
177 150 201
183 146 200
184 147 201
183 151 206
160 128 183
155 140 189
172 147 199
174 149 201
178 148 202
159 129 183
121 108 158
140 127 177
153 138 187
161 146 195
172 147 199
176 151 203
158 143 194
167 145 196
143 116 171
121 108 156
132 119 167
134 119 170
165 143 194
152 133 179
113 103 150
132 122 169
135 122 172
130 111 157
113 99 154
117 103 156
