91 110 29
87 106 18
82 101 13
127 151 80
121 145 74
118 138 93
66 86 41
151 189 92
155 193 96
147 179 89
118 150 60
68 96 19
156 194 97
150 188 91
147 179 89
152 184 94
144 172 95
130 158 81
97 118 66
159 198 94
158 197 93
160 194 92
161 195 93
159 190 94
153 184 88
127 157 68
106 136 47
152 191 87
147 186 82
159 193 91
162 196 94
160 191 95
159 190 94
149 179 90
154 184 95
151 175 94
108 132 51
167 204 103
168 205 104
168 202 102
167 201 101
171 203 102
162 194 93
159 191 92
154 186 87
148 185 84
158 195 94
132 165 70
97 130 35
160 197 96
165 202 101
170 204 104
169 203 103
167 199 98
162 194 93
161 193 94
162 194 95
160 197 96
151 188 87
145 178 83
124 157 62
98 119 71
158 187 89
163 192 94
163 192 94
160 189 91
164 193 93
173 202 102
182 217 112
176 211 106
174 209 102
167 202 95
164 201 100
157 194 93
155 188 95
141 174 81
120 149 51
137 166 68
153 182 84
151 180 82
165 194 94
175 204 104
181 216 111
173 208 103
176 211 104
177 212 105
171 208 107
166 203 102
151 184 91
145 178 85
103 116 75
90 104 47
106 126 42
144 164 80
158 184 93
170 196 105
180 209 109
183 212 112
182 211 111
191 220 120
182 209 111
175 202 104
159 180 87
130 151 58
104 122 48
76 96 12
102 122 38
139 165 74
153 179 88
168 197 97
171 200 100
183 212 112
196 225 125
201 228 130
173 200 102
155 176 83
130 151 58
91 109 35
121 142 69
151 175 83
164 188 96
180 204 110
197 221 127
204 220 121
194 210 111
160 174 83
133 147 56
82 96 37
129 153 61
152 176 84
171 195 101
182 206 112
195 211 112
195 211 112
161 175 84
130 144 53
119 123 67
137 156 75
147 166 85
147 166 78
147 166 78
135 153 68
89 107 22
80 97 50
95 112 65
94 106 59
90 102 55
75 91 47
90 107 60
97 114 67
103 115 68
93 105 58
72 88 44
92 113 53
89 110 50
81 103 46
79 101 44
78 99 47
83 107 56
76 100 49
68 95 27
70 91 31
68 90 33
71 93 36
88 109 49
96 117 57
94 115 63
114 135 83
118 142 91
119 143 92
105 132 64
119 146 78
81 111 53
66 86 41
72 94 27
111 136 60
122 147 71
130 156 75
132 158 77
132 162 75
133 163 76
128 161 82
125 158 79
122 157 77
86 121 41
70 104 20
74 96 29
96 118 51
132 157 81
150 175 99
162 188 107
164 190 109
164 194 107
166 196 109
156 189 110
156 189 110
151 186 106
157 192 112
145 179 95
135 169 85
105 139 78
72 106 45
66 87 37
97 118 68
133 160 88
149 176 104
170 195 109
181 206 120
182 205 118
180 203 116
177 208 116
178 209 117
167 203 107
159 195 99
146 185 93
153 192 100
159 190 105
140 171 86
109 133 52
75 99 18
69 96 24
121 148 76
146 171 85
166 191 105
180 203 116
182 205 118
182 213 121
182 213 121
170 206 110
161 197 101
160 199 107
156 195 103
148 179 94
143 174 89
137 161 80
125 149 68
104 126 71
93 115 60
85 109 69
132 151 72
158 177 98
179 198 106
189 208 116
201 217 130
198 214 127
191 212 119
183 204 111
185 211 118
163 189 96
142 172 83
146 176 87
147 178 84
163 194 100
171 196 108
146 171 83
125 151 68
93 119 36
96 115 36
128 147 55
154 173 81
169 185 98
176 192 105
177 198 105
183 204 111
180 206 113
174 200 107
170 200 111
170 200 111
167 198 104
154 185 91
155 180 92
150 175 87
148 174 91
141 167 84
104 116 39
121 133 56
137 150 66
160 173 89
168 189 100
178 199 110
170 197 109
173 200 112
164 202 96
153 191 85
155 188 93
158 191 96
147 179 89
147 179 89
109 122 38
134 155 66
144 165 76
153 180 92
156 183 95
155 193 87
157 195 89
159 192 97
160 193 98
159 191 101
159 191 101
104 118 57
113 141 64
135 163 86
147 179 89
162 194 104
159 197 100
150 188 91
150 191 87
158 199 95
90 118 41
126 158 68
138 170 80
141 179 82
151 189 92
150 191 87
153 194 90
95 129 56
119 160 72
145 186 98
149 189 90
160 200 101
77 118 30
106 147 59
131 171 72
148 188 89
91 121 32
139 169 80
