119 220 141
102 175 132
118 221 141
51 78 58
125 228 148
66 142 89
120 229 147
94 170 117
99 208 126
114 210 144
94 184 117
126 222 156
65 155 88
132 233 156
42 109 41
131 232 155
129 230 151
110 207 138
97 194 125
99 191 126
94 186 121
47 127 66
57 89 67
72 155 100
99 182 127
118 210 145
130 222 157
136 230 157
137 231 158
129 226 152
122 219 145
110 203 133
106 199 129
118 198 137
66 146 85
54 86 64
76 159 104
98 181 126
106 198 133
127 219 154
131 225 152
125 219 146
107 204 130
94 191 117
67 160 90
61 154 84
25 105 44
51 87 61
73 154 106
102 183 135
115 195 152
128 208 165
126 205 167
119 198 160
76 149 106
63 124 85
33 114 66
67 148 100
74 154 111
80 160 117
81 160 122
65 144 106
43 116 73
21 94 51
109 210 131
122 223 144
43 119 66
135 229 156
63 139 86
142 236 163
72 168 102
116 205 130
91 187 121
94 183 108
94 195 118
84 161 94
98 199 122
35 112 45
101 202 123
100 201 122
102 199 130
102 199 130
114 206 141
105 197 132
108 188 127
61 141 80
86 187 108
115 216 137
132 226 153
46 102 72
142 236 163
48 131 69
126 215 140
73 156 94
126 215 140
77 174 98
100 177 110
77 174 98
54 131 64
83 188 100
81 186 98
76 183 99
84 191 107
106 209 131
106 209 131
104 205 128
95 196 119
68 154 80
54 149 67
81 176 94
115 210 130
118 213 133
130 219 148
18 115 39
124 213 142
26 123 47
107 183 119
26 131 43
75 151 87
17 122 34
45 107 45
29 136 52
51 158 74
86 189 111
100 203 125
100 201 124
100 201 124
100 186 112
71 157 83
51 113 51
45 107 45
27 122 40
59 154 72
89 184 104
110 205 125
112 201 130
113 202 131
106 182 118
79 155 91
45 107 45
20 120 30
75 179 94
85 189 104
97 203 124
98 204 125
97 195 119
88 186 110
73 168 88
64 159 79
41 126 52
62 131 69
69 138 76
67 138 78
71 142 82
59 131 73
44 116 58
23 111 29
46 103 47
17 117 27
56 156 66
80 184 99
86 190 105
94 200 121
105 211 132
107 205 129
98 196 120
94 189 109
81 176 96
94 179 105
50 135 61
39 93 38
39 129 51
64 154 76
80 184 101
95 199 116
97 203 124
102 208 129
101 205 120
104 208 123
102 204 122
102 204 122
91 192 113
98 199 120
48 145 69
34 124 46
59 149 71
75 179 96
97 201 118
99 205 126
93 199 120
95 199 114
95 199 114
101 203 121
103 205 123
94 195 116
87 188 109
83 180 104
41 138 62
38 93 49
50 138 70
71 159 91
89 186 108
98 195 117
100 202 118
95 197 113
92 202 117
90 200 115
86 196 109
86 196 109
87 190 110
82 185 105
70 171 94
11 112 35
39 127 59
63 160 82
87 184 106
95 197 113
95 197 113
82 192 107
88 198 113
81 191 104
84 194 107
88 191 111
94 197 117
89 190 113
73 174 97
38 104 45
37 89 46
45 135 57
67 157 79
81 186 96
79 184 94
72 182 97
91 201 116
87 195 102
88 196 103
93 197 114
94 198 115
88 191 111
93 196 116
84 182 104
32 130 52
21 111 33
60 165 75
80 185 95
86 196 111
91 201 116
92 200 107
92 200 107
89 193 110
89 193 110
89 192 112
94 197 117
96 194 116
74 172 94
56 128 59
37 109 40
59 143 78
77 177 91
86 186 100
95 198 122
96 199 123
82 193 106
76 187 100
94 199 111
97 202 114
100 198 115
100 198 115
75 169 92
53 147 70
46 128 59
26 110 45
54 154 68
85 185 99
83 186 110
85 188 112
81 192 105
90 201 114
94 199 111
94 199 111
98 196 113
99 197 114
91 185 108
89 183 106
83 165 96
73 155 86
50 123 62
72 169 100
83 180 111
87 190 114
89 192 116
94 202 109
93 201 108
96 201 113
97 202 114
89 192 112
87 190 110
70 167 98
56 153 84
37 118 54
39 136 67
74 171 102
74 177 101
78 181 105
86 194 101
93 201 108
90 195 107
99 204 116
100 203 123
94 197 117
91 188 119
69 166 97
45 126 62
39 106 56
57 155 79
71 169 93
83 194 104
90 201 111
95 203 114
108 216 127
108 210 128
107 209 127
94 199 127
91 196 124
77 175 115
76 174 114
60 150 81
29 127 51
68 166 90
72 183 93
90 201 111
95 203 114
107 215 126
109 211 129
105 207 125
105 210 138
98 203 131
101 199 139
90 188 128
116 206 137
80 170 101
41 97 48
58 150 69
80 172 91
87 194 108
97 204 118
102 210 121
102 210 121
100 209 131
105 214 136
97 206 128
89 198 120
86 183 109
78 175 101
78 166 98
31 123 42
50 157 71
84 191 105
90 198 109
93 201 112
93 202 124
107 216 138
105 214 136
97 206 128
94 191 117
85 182 108
87 175 107
81 169 101
15 100 33
56 141 74
80 183 105
92 195 117
95 202 132
104 211 141
107 213 136
109 215 138
97 206 131
96 205 130
96 193 119
93 190 116
59 152 82
41 144 66
74 177 99
89 196 126
99 206 136
105 211 134
112 218 141
107 216 141
103 212 137
104 201 127
85 182 108
73 166 96
78 171 101
43 97 40
57 137 80
70 165 108
85 180 123
84 191 130
96 203 142
106 215 142
110 219 146
99 202 126
96 199 123
87 188 122
80 181 115
82 185 105
41 136 79
75 170 113
81 188 127
89 196 135
104 213 140
107 216 143
108 211 135
108 211 135
107 208 142
97 198 132
87 190 110
61 164 84
46 109 56
43 111 56
69 170 95
81 182 107
88 197 122
97 206 131
104 210 131
105 211 132
106 213 143
102 209 139
89 197 122
78 186 111
46 149 62
6 109 22
19 120 45
59 160 85
64 173 98
90 199 124
107 213 134
107 213 134
108 215 145
107 214 144
84 192 117
79 187 112
51 154 67
30 133 46
63 160 82
73 170 92
88 197 119
107 216 138
103 214 143
104 215 144
93 207 121
74 188 102
35 141 64
31 137 60
25 114 39
16 113 35
54 151 73
61 170 92
96 205 127
102 213 142
115 226 155
109 223 137
89 203 117
46 152 75
31 137 60
17 106 31
43 140 66
83 180 106
87 199 125
110 222 148
118 221 141
118 221 141
89 198 116
55 164 82
30 120 53
62 159 85
67 179 105
108 220 146
37 100 47
53 153 81
84 184 112
16 116 44
56 156 84
42 102 52
