85,65,104
77,57,96
86,65,91
108,87,113
119,97,130
121,99,132
117,97,134
118,98,135
119,99,138
104,84,123
79,63,103
81,65,105
87,66,96
119,95,131
142,118,154
154,131,171
157,134,174
165,140,183
173,148,191
144,118,164
117,91,137
114,88,136
115,89,137
99,81,108
121,103,130
141,120,150
154,133,163
157,133,169
165,141,177
156,133,173
170,147,187
176,151,194
178,153,196
152,126,172
128,102,148
117,91,139
101,75,123
83,60,100
113,90,132
136,113,155
154,129,172
164,139,182
171,143,187
166,138,182
165,136,183
173,144,191
184,155,202
174,145,192
172,143,190
171,142,189
170,144,192
141,115,163
97,70,123
81,54,107
98,73,112
109,86,124
129,106,144
136,113,153
147,124,164
160,137,179
165,142,184
168,143,186
166,141,184
170,142,186
160,132,176
165,136,183
165,136,183
180,151,198
177,148,195
164,135,182
165,136,183
155,129,177
101,75,123
85,59,89
92,67,90
97,72,95
103,75,104
95,67,96
88,59,97
101,72,110
117,89,129
129,101,141
137,107,150
148,118,161
164,134,177
174,144,187
179,149,190
181,151,192
171,141,184
165,135,178
166,133,181
167,134,182
167,136,186
169,138,188
171,140,190
168,137,187
166,134,187
166,134,187
166,137,186
144,115,164
77,53,98
85,59,89
105,79,109
119,94,117
119,94,117
115,87,116
108,80,109
106,78,109
94,66,97
98,68,101
115,85,118
112,82,127
127,97,142
138,109,147
145,116,154
144,116,156
146,118,158
155,125,168
159,129,172
166,136,179
167,137,180
169,139,180
167,137,178
161,131,174
161,131,174
167,134,182
167,134,182
167,136,186
166,135,185
158,127,177
155,124,174
158,126,179
140,108,161
121,92,141
90,61,110
90,69,88
108,78,119
127,97,138
143,106,151
144,107,152
139,102,149
137,100,147
129,94,138
133,98,142
148,111,156
157,120,165
161,126,168
162,127,169
168,133,177
173,138,182
157,128,175
156,127,174
154,120,173
150,116,169
155,119,168
152,116,165
152,117,161
155,120,164
162,130,175
160,128,173
163,130,178
169,136,184
161,129,182
141,109,162
122,91,139
108,77,125
89,60,109
102,81,100
124,94,135
136,106,147
146,109,154
148,111,156
150,113,160
153,116,163
156,121,165
154,119,163
158,121,166
159,122,167
162,127,169
162,127,169
165,130,174
163,128,172
152,123,170
149,120,167
147,113,166
145,111,164
152,116,165
152,116,165
151,116,160
151,116,160
154,122,167
157,125,170
154,121,169
154,121,169
136,104,157
87,55,108
104,75,99
128,103,142
136,111,150
130,114,154
132,116,156
140,117,157
140,117,157
145,113,156
142,110,153
141,104,151
144,107,154
147,112,158
140,105,151
145,112,160
149,116,164
149,124,167
151,126,169
156,131,174
158,133,176
151,126,167
144,119,160
152,122,165
146,116,159
115,83,126
93,61,104
105,76,100
123,98,137
133,108,147
131,115,155
132,116,156
137,114,154
137,114,154
143,111,154
145,113,156
146,109,156
149,112,159
149,114,160
147,112,158
147,114,162
152,119,167
142,117,160
148,123,166
157,132,175
152,127,170
120,95,136
94,69,110
83,53,96
80,63,83
100,80,119
118,98,137
133,113,152
137,117,156
137,112,155
137,112,155
145,110,156
149,114,160
148,112,163
149,113,164
145,110,154
138,103,147
127,97,140
118,88,131
107,79,121
96,68,110
86,61,102
80,55,96
89,69,108
95,75,114
119,99,138
130,110,149
138,113,156
137,112,155
141,106,152
142,107,153
143,107,158
129,93,144
109,74,118
93,58,102
84,59,98
89,62,99
89,62,99
