91,76,65
94,77,67
88,71,61
118,103,67
142,127,91
143,124,89
143,124,89
137,122,86
174,159,123
182,163,128
178,159,124
137,120,85
126,120,86
133,127,93
121,115,67
104,98,50
140,127,54
177,164,91
196,178,107
200,182,111
158,140,69
82,74,63
113,105,94
143,137,103
149,143,109
162,156,108
89,83,35
139,126,53
183,170,97
212,194,123
210,192,121
173,155,84
107,108,42
142,143,77
177,172,103
192,187,118
175,172,91
109,106,25
131,114,45
180,163,94
220,204,132
221,205,133
183,164,98
77,74,61
141,142,76
171,172,106
193,188,119
196,191,122
164,161,80
105,102,21
143,126,57
183,166,97
220,204,132
223,207,135
184,165,99
108,108,78
183,183,101
195,195,113
202,197,113
195,190,106
146,138,55
136,119,43
193,176,100
223,204,138
227,208,142
176,155,83
124,124,94
192,192,110
204,204,122
206,201,117
184,179,95
137,129,46
120,93,57
174,157,81
213,196,120
221,202,136
217,198,132
174,153,81
128,130,88
196,196,110
202,202,116
193,190,98
169,166,74
129,119,39
114,91,22
170,147,78
209,192,116
220,203,127
222,206,123
207,191,108
138,121,41
134,136,94
194,194,108
197,197,111
197,194,102
161,158,66
133,123,43
108,86,41
166,143,74
208,185,116
222,205,129
222,205,129
227,211,128
222,206,123
121,104,24
135,134,96
176,176,92
196,196,112
199,195,108
161,157,70
140,135,53
116,111,29
118,99,35
132,114,41
181,163,90
218,198,121
232,212,135
225,206,124
223,204,122
189,174,95
208,193,114
104,103,65
156,156,72
190,190,106
195,191,104
180,176,89
158,153,71
144,139,57
135,125,54
126,116,45
113,95,35
110,92,32
115,97,35
126,108,46
150,131,67
162,143,79
195,177,104
237,219,146
245,225,148
245,225,148
255,238,156
233,214,132
168,153,74
113,98,19
79,74,60
123,122,57
173,172,107
191,173,102
191,173,102
181,173,94
174,166,87
170,162,81
163,155,74
174,156,85
180,162,91
184,171,96
189,176,101
185,169,95
206,190,116
224,206,135
227,209,138
228,211,135
228,211,135
230,213,133
199,182,102
130,108,43
135,134,69
178,160,89
191,173,102
193,185,106
207,199,120
214,206,125
221,213,132
227,209,138
229,211,140
223,210,135
216,203,128
215,199,125
215,199,125
213,195,124
213,195,124
194,177,101
170,153,77
131,114,34
132,121,59
171,160,98
197,184,111
207,194,121
218,204,134
214,200,130
217,204,131
219,206,133
218,202,130
212,196,124
201,186,109
195,180,103
185,170,93
169,154,77
141,128,55
111,98,25
121,110,48
146,133,60
162,149,76
176,162,92
177,163,93
178,165,92
180,167,94
176,160,88
166,150,78
159,144,67
150,135,58
131,116,39
121,106,29
110,97,24
108,88,38
132,113,47
145,126,60
140,129,56
131,120,47
103,88,25
103,88,25
